frame,dt,class_id,class_name,tid,state,d_px,long_edge_px,mpp,v_raw_kmh,v_old_kmh,v_ema_kmh,v_ws_kmh,v_ws_ema_kmh,wbbox,wedge,wdv,whomo,W_raw,W_final,W_use
5,0.16666666666666666,8,bus,1,unknown,0.7801462627520597,95.58551025390625,0.11508020379637475,1.9392348436233224,1.9392348436233224,1.9392348436233224,1.9392348436233224,1.9392348436233224,1.0,0.7566227621626433,1.0,0.9353593015446608,0.7077141383492421,0.7661713106793937,0.6
5,0.16666666666666666,8,bus,2,unknown,0.5180476038099106,104.2833251953125,0.10548186854799722,1.18032399172833,1.18032399172833,1.18032399172833,1.18032399172833,1.18032399172833,1.0,0.7873271753035418,1.0,0.9353593015446608,0.7364337967790516,0.7891470374232414,0.6
5,0.16666666666666666,3,car,3,unknown,0.6922049165546241,49.54426574707031,0.09688305856634553,1.448559276562238,1.448559276562238,1.448559276562238,1.448559276562238,1.448559276562238,1.0,0.9261507322557587,1.0,0.9353593015446608,0.8662837020478227,0.8930269616382582,0.6
5,0.16666666666666666,3,car,4,unknown,0.04303145856503495,47.28603744506836,0.10150988028075104,0.09435135327644444,0.09435135327644444,0.09435135327644444,0.09435135327644444,0.09435135327644444,1.0,0.8616011385973722,1.0,0.9353593015446608,0.8059066392085226,0.844725311366818,0.6
5,0.16666666666666666,3,car,5,unknown,0.07923865501782612,38.74263000488281,0.12389453166692727,0.21205229875237694,0.21205229875237694,0.21205229875237694,0.21205229875237694,0.21205229875237694,1.0,0.4684003327013776,1.0,0.9353593015446608,0.43812260803884734,0.5504980864310779,0.5504980864310779
5,0.16666666666666666,3,car,6,unknown,3.6512012537137175,53.8360595703125,0.08915957145286547,7.031654043896452,7.031654043896452,7.031654043896452,7.031654043896452,7.031654043896452,1.0,0.6241242557689135,1.0,0.9353593015446608,0.5837804279530922,0.6670243423624738,0.6
5,0.16666666666666666,3,car,7,unknown,0.19357041630179428,47.99577331542969,0.10000880636830775,0.4181489197032715,0.4181489197032715,0.4181489197032715,0.4181489197032715,0.4181489197032715,1.0,0.8232528351699833,1.0,0.9353593015446608,0.7700371968992573,0.816029757519406,0.6
5,0.16666666666666666,3,car,8,unknown,0.33133511769367413,49.71392822265625,0.0965524184389936,0.691010069625205,0.691010069625205,0.691010069625205,0.691010069625205,0.691010069625205,1.0,1.0,1.0,0.9353593015446608,0.9353593015446608,0.9482874412357287,0.6
5,0.16666666666666666,3,car,9,unknown,0.04885574905242192,39.95672607421875,0.12012996237690006,0.12677124878415466,0.12677124878415466,0.12677124878415466,0.12677124878415466,0.12677124878415466,1.0,0.5525851760676213,1.0,0.9353593015446608,0.5168656843305437,0.613492547464435,0.6
5,0.16666666666666666,3,car,10,unknown,0.19409897213516655,45.348876953125,0.10584606108242843,0.44376361187015695,0.44376361187015695,0.44376361187015695,0.44376361187015695,0.44376361187015695,1.0,1.0,1.0,0.9353593015446608,0.9353593015446608,0.9482874412357287,0.6
